x,Cpl,Cpu
0.000000000000000000e+00,-2.90E-01,-6.50E-01
1.000000000000000021e-02,9.906909210526315679e-01,-2.17E+00
2.000000000000000042e-02,8.516665415549596885e-01,-2.02E+00
2.999999999999999889e-02,7.182250000000000023e-01,-1.89E+00
4.000000000000000083e-02,6.170425700934579760e-01,-1.78E+00
5.000000000000000278e-02,5.401328070175438478e-01,-1.70E+00
5.999999999999999778e-02,4.797972982456140678e-01,-1.63E+00
7.000000000000000666e-02,4.322669018404907693e-01,-1.57E+00
8.000000000000000167e-02,3.940924250681199226e-01,-1.53E+00
8.999999999999999667e-02,3.626652510288065900e-01,-1.48E+00
1.000000000000000056e-01,3.361480532319391368e-01,-1.44E+00
1.100000000000000006e-01,3.133239598278335647e-01,-1.41E+00
1.199999999999999956e-01,2.935893830703013019e-01,-1.38E+00
1.300000000000000044e-01,2.774690508940852451e-01,-1.35E+00
1.400000000000000133e-01,2.630141278295605733e-01,-1.32E+00
1.499999999999999944e-01,2.500474999999999781e-01,-1.30E+00
1.600000000000000033e-01,2.394224999999999826e-01,-1.27E+00
1.700000000000000122e-01,2.296798656429942243e-01,-1.25E+00
1.799999999999999933e-01,2.209402623160588719e-01,-1.23E+00
1.900000000000000022e-01,2.135665930599369156e-01,-1.21E+00
2.000000000000000111e-01,2.067244069912609061e-01,-1.20E+00
2.099999999999999922e-01,2.007069288389513040e-01,-1.19E+00
2.200000000000000011e-01,1.954000185528756983e-01,-1.14E+00
2.300000000000000100e-01,1.904515715162676259e-01,-1.09E+00
2.399999999999999911e-01,1.862097053406998048e-01,-1.06E+00
2.500000000000000000e-01,1.822719512195122016e-01,-1.04E+00
2.600000000000000089e-01,1.786743902439024423e-01,-1.02E+00
2.700000000000000178e-01,1.755018496058217137e-01,-1.01E+00
2.800000000000000266e-01,1.724885395292697354e-01,-9.94E-01
2.899999999999999800e-01,1.698029631864816091e-01,-9.79E-01
2.999999999999999889e-01,1.672758138138138173e-01,-9.62E-01
3.099999999999999978e-01,1.648914294294294425e-01,-9.46E-01
3.200000000000000067e-01,1.626896050269299732e-01,-9.29E-01
3.300000000000000155e-01,1.605411575178997408e-01,-9.12E-01
3.400000000000000244e-01,1.584946181384248032e-01,-8.95E-01
3.500000000000000333e-01,1.564573230220107081e-01,-8.78E-01
