#      x          Cp  
     1.00000    0.21281
     0.99180    0.18431
     0.98067    0.14668
     0.96782    0.10983
     0.95357    0.07515
     0.93838    0.04363
     0.92265    0.01537
     0.90663   -0.00993
     0.89046   -0.03268
     0.87420   -0.05328
     0.85789   -0.07201
     0.84156   -0.08910
     0.82520   -0.10467
     0.80884   -0.11882
     0.79245   -0.13168
     0.77606   -0.14368
     0.75966   -0.15639
     0.74326   -0.17457
     0.72684   -0.20728
     0.71043   -0.25548
     0.69401   -0.27984
     0.67758   -0.28628
     0.66116   -0.29369
     0.64474   -0.30167
     0.62832   -0.31013
     0.61191   -0.31905
     0.59550   -0.32843
     0.57909   -0.33828
     0.56270   -0.34857
     0.54631   -0.35928
     0.52994   -0.37037
     0.51358   -0.38180
     0.49724   -0.39357
     0.48092   -0.40566
     0.46462   -0.41808
     0.44834   -0.43085
     0.43211   -0.44403
     0.41592   -0.45769
     0.39982   -0.47223
     0.38384   -0.48656
     0.36794   -0.49922
     0.35210   -0.51077
     0.33632   -0.52122
     0.32059   -0.53061
     0.30492   -0.53895
     0.28931   -0.54623
     0.27377   -0.55240
     0.25831   -0.55742
     0.24293   -0.56119
     0.22765   -0.56364
     0.21248   -0.56464
     0.19745   -0.56407
     0.18256   -0.56176
     0.16785   -0.55754
     0.15336   -0.55118
     0.13914   -0.54244
     0.12525   -0.53101
     0.11179   -0.51657
     0.09889   -0.49882
     0.08668   -0.47744
     0.07533   -0.45223
     0.06499   -0.42310
     0.05575   -0.39009
     0.04761   -0.35326
     0.04054   -0.31262
     0.03441   -0.26805
     0.02911   -0.21925
     0.02453   -0.16573
     0.02055   -0.10685
     0.01707   -0.04181
     0.01404    0.03030
     0.01138    0.11045
     0.00906    0.19951
     0.00704    0.29807
     0.00530    0.40605
     0.00381    0.52196
     0.00258    0.64239
     0.00159    0.76052
     0.00084    0.86662
     0.00034    0.94806
     0.00006    0.99336
     0.00001    0.99547
     0.00016    0.95112
     0.00056    0.85791
     0.00122    0.72500
     0.00215    0.56913
     0.00334    0.40974
     0.00480    0.26083
     0.00653    0.13041
     0.00853    0.02067
     0.01081   -0.06922
     0.01339   -0.14156
     0.01631   -0.19904
     0.01960   -0.24413
     0.02333   -0.27897
     0.02757   -0.30529
     0.03242   -0.32446
     0.03798   -0.33751
     0.04440   -0.34524
     0.05181   -0.34828
     0.06036   -0.34716
     0.07013   -0.34239
     0.08113   -0.33458
     0.09329   -0.32438
     0.10643   -0.31248
     0.12037   -0.29950
     0.13492   -0.28593
     0.14993   -0.27213
     0.16529   -0.25837
     0.18092   -0.24479
     0.19677   -0.23152
     0.21279   -0.21862
     0.22896   -0.20615
     0.24525   -0.19414
     0.26165   -0.18263
     0.27814   -0.17163
     0.29471   -0.16117
     0.31136   -0.15128
     0.32807   -0.14198
     0.34483   -0.13333
     0.36165   -0.12540
     0.37849   -0.11827
     0.39533   -0.11228
     0.41212   -0.10729
     0.42888   -0.10171
     0.44564   -0.09584
     0.46241   -0.08975
     0.47921   -0.08352
     0.49603   -0.07723
     0.51287   -0.07091
     0.52974   -0.06462
     0.54662   -0.05837
     0.56353   -0.05219
     0.58045   -0.04611
     0.59738   -0.04014
     0.61433   -0.03429
     0.63130   -0.02857
     0.64827   -0.02299
     0.66525   -0.01758
     0.68225   -0.01233
     0.69925   -0.00729
     0.71625   -0.00247
     0.73326    0.00207
     0.75027    0.00623
     0.76729    0.00983
     0.78430    0.01240
     0.80132    0.02031
     0.81833    0.04045
     0.83534    0.06031
     0.85233    0.07494
     0.86931    0.08513
     0.88624    0.09355
     0.90311    0.10209
     0.91982    0.11180
     0.93623    0.12335
     0.95207    0.13728
     0.96689    0.15413
     0.98019    0.17391
     0.99163    0.19810
     1.00000    0.21281
