#      x          Cp  
     1.00000    0.42651
     0.99187    0.23573
     0.98074    0.17466
     0.96776    0.12112
     0.95330    0.07748
     0.93785    0.03936
     0.92186    0.00550
     0.90557   -0.02515
     0.88914   -0.05334
     0.87263   -0.07966
     0.85609   -0.10453
     0.83952   -0.12829
     0.82294   -0.15120
     0.80635   -0.17345
     0.78976   -0.19521
     0.77315   -0.21662
     0.75655   -0.23780
     0.73994   -0.25884
     0.72333   -0.27983
     0.70672   -0.30085
     0.69011   -0.32197
     0.67350   -0.34326
     0.65690   -0.36479
     0.64030   -0.38660
     0.62371   -0.40876
     0.60712   -0.43133
     0.59055   -0.45436
     0.57398   -0.47790
     0.55743   -0.50202
     0.54089   -0.52678
     0.52436   -0.55222
     0.50785   -0.57843
     0.49136   -0.60547
     0.47489   -0.63341
     0.45844   -0.66233
     0.44201   -0.69232
     0.42562   -0.72349
     0.40925   -0.75593
     0.39291   -0.78979
     0.37661   -0.82520
     0.36035   -0.86234
     0.34413   -0.90141
     0.32796   -0.94264
     0.31184   -0.98634
     0.29578   -1.03286
     0.27979   -1.08267
     0.26388   -1.13636
     0.24806   -1.19473
     0.23237   -1.25896
     0.21684   -1.33064
     0.20154   -1.41413
     0.18661   -1.51669
     0.17212   -1.62826
     0.15811   -1.74356
     0.14460   -1.85925
     0.13157   -1.97247
     0.11906   -2.08067
     0.10706   -2.18156
     0.09561   -2.27318
     0.08476   -2.35404
     0.07456   -2.42328
     0.06508   -2.48079
     0.05639   -2.52731
     0.04853   -2.56429
     0.04151   -2.59366
     0.03531   -2.61744
     0.02989   -2.63747
     0.02516   -2.65514
     0.02106   -2.67128
     0.01750   -2.68626
     0.01440   -2.69985
     0.01172   -2.71124
     0.00939   -2.71891
     0.00737   -2.72047
     0.00563   -2.71238
     0.00415   -2.68958
     0.00291   -2.64508
     0.00190   -2.56972
     0.00110   -2.45230
     0.00052   -2.28117
     0.00016   -2.04665
     0.00001   -1.74984
     0.00006   -1.40433
     0.00035   -0.98917
     0.00091   -0.52267
     0.00178   -0.05995
     0.00294    0.33652
     0.00441    0.63075
     0.00616    0.82253
     0.00819    0.93243
     0.01049    0.98487
     0.01309    0.99994
     0.01602    0.99184
     0.01931    0.96983
     0.02305    0.93973
     0.02732    0.90509
     0.03226    0.86802
     0.03803    0.82971
     0.04485    0.79078
     0.05299    0.75151
     0.06274    0.71200
     0.07429    0.67233
     0.08760    0.63264
     0.10236    0.59310
     0.11804    0.55386
     0.13418    0.51505
     0.15044    0.47684
     0.16662    0.43954
     0.18263    0.40372
     0.19847    0.37033
     0.21419    0.34238
     0.22991    0.31889
     0.24569    0.29817
     0.26153    0.27975
     0.27745    0.26328
     0.29344    0.24850
     0.30949    0.23519
     0.32561    0.22320
     0.34179    0.21237
     0.35801    0.20260
     0.37429    0.19376
     0.39060    0.18576
     0.40696    0.17853
     0.42335    0.17199
     0.43977    0.16607
     0.45623    0.16072
     0.47271    0.15589
     0.48922    0.15153
     0.50575    0.14761
     0.52230    0.14408
     0.53887    0.14092
     0.55546    0.13810
     0.57206    0.13560
     0.58868    0.13340
     0.60531    0.13148
     0.62195    0.12984
     0.63861    0.12846
     0.65526    0.12733
     0.67193    0.12647
     0.68860    0.12586
     0.70528    0.12553
     0.72196    0.12547
     0.73864    0.12571
     0.75532    0.12628
     0.77200    0.12720
     0.78867    0.12852
     0.80535    0.13029
     0.82201    0.13257
     0.83867    0.13547
     0.85532    0.13910
     0.87194    0.14362
     0.88853    0.14925
     0.90505    0.15630
     0.92142    0.16522
     0.93750    0.17666
     0.95303    0.19161
     0.96757    0.21152
     0.98062    0.24000
     0.99182    0.27805
     1.00000    0.42651
