#      x          Cp  
     1.00000    0.14182
     0.99187    0.13059
     0.98074    0.11438
     0.96776    0.09530
     0.95330    0.07397
     0.93785    0.05127
     0.92186    0.02796
     0.90557    0.00454
     0.88914   -0.01872
     0.87263   -0.04167
     0.85609   -0.06426
     0.83952   -0.08647
     0.82294   -0.10834
     0.80635   -0.12988
     0.78976   -0.15116
     0.77315   -0.17222
     0.75655   -0.19312
     0.73994   -0.21391
     0.72333   -0.23464
     0.70672   -0.25537
     0.69011   -0.27616
     0.67350   -0.29705
     0.65690   -0.31810
     0.64030   -0.33936
     0.62371   -0.36087
     0.60712   -0.38268
     0.59055   -0.40483
     0.57398   -0.42739
     0.55743   -0.45037
     0.54089   -0.47384
     0.52436   -0.49784
     0.50785   -0.52240
     0.49136   -0.54756
     0.47489   -0.57337
     0.45844   -0.59986
     0.44201   -0.62706
     0.42562   -0.65497
     0.40925   -0.68361
     0.39291   -0.71295
     0.37661   -0.74292
     0.36035   -0.77340
     0.34413   -0.80416
     0.32796   -0.83486
     0.31184   -0.86506
     0.29578   -0.89461
     0.27979   -0.92540
     0.26388   -0.96816
     0.24806   -1.06033
     0.23237   -1.28703
     0.21684   -1.69350
     0.20154   -1.72850
     0.18661   -1.74360
     0.17212   -1.75844
     0.15811   -1.77577
     0.14460   -1.79895
     0.13157   -1.83260
     0.11906   -1.88138
     0.10706   -1.94571
     0.09561   -2.02471
     0.08476   -2.10655
     0.07456   -2.18016
     0.06508   -2.24100
     0.05639   -2.28868
     0.04853   -2.32465
     0.04151   -2.35109
     0.03531   -2.37025
     0.02989   -2.38406
     0.02516   -2.39396
     0.02106   -2.40079
     0.01750   -2.40486
     0.01440   -2.40586
     0.01172   -2.40290
     0.00939   -2.39446
     0.00737   -2.37820
     0.00563   -2.35078
     0.00415   -2.30761
     0.00291   -2.24254
     0.00190   -2.14777
     0.00110   -2.01417
     0.00052   -1.83281
     0.00016   -1.59732
     0.00001   -1.31400
     0.00006   -0.98911
     0.00035   -0.60882
     0.00091   -0.19666
     0.00178    0.19927
     0.00294    0.52544
     0.00441    0.75825
     0.00616    0.89994
     0.00819    0.97315
     0.01049    0.99866
     0.01309    0.99498
     0.01602    0.97355
     0.01931    0.94283
     0.02305    0.90637
     0.02732    0.86801
     0.03226    0.82835
     0.03803    0.78878
     0.04485    0.74930
     0.05299    0.71010
     0.06274    0.67104
     0.07429    0.63206
     0.08760    0.59313
     0.10236    0.55433
     0.11804    0.51573
     0.13418    0.47745
     0.15044    0.43970
     0.16662    0.40282
     0.18263    0.36743
     0.19847    0.33452
     0.21419    0.30626
     0.22991    0.28241
     0.24569    0.26171
     0.26153    0.24345
     0.27745    0.22717
     0.29344    0.21260
     0.30949    0.19949
     0.32561    0.18769
     0.34179    0.17703
     0.35801    0.16741
     0.37429    0.15870
     0.39060    0.15082
     0.40696    0.14368
     0.42335    0.13721
     0.43977    0.13134
     0.45623    0.12602
     0.47271    0.12120
     0.48922    0.11682
     0.50575    0.11286
     0.52230    0.10927
     0.53887    0.10603
     0.55546    0.10310
     0.57206    0.10046
     0.58868    0.09810
     0.60531    0.09599
     0.62195    0.09413
     0.63861    0.09250
     0.65526    0.09110
     0.67193    0.08991
     0.68860    0.08895
     0.70528    0.08822
     0.72196    0.08771
     0.73864    0.08745
     0.75532    0.08745
     0.77200    0.08773
     0.78867    0.08832
     0.80535    0.08924
     0.82201    0.09055
     0.83867    0.09229
     0.85532    0.09453
     0.87194    0.09733
     0.88853    0.10076
     0.90505    0.10491
     0.92142    0.10980
     0.93750    0.11541
     0.95303    0.12157
     0.96757    0.12788
     0.98062    0.13378
     0.99182    0.13889
     1.00000    0.14182
