#      x          Cp  
     1.00000    0.11867
     0.99187    0.11320
     0.98074    0.10475
     0.96776    0.09360
     0.95330    0.07966
     0.93785    0.06315
     0.92186    0.04448
     0.90557    0.02405
     0.88914    0.00221
     0.87263   -0.02074
     0.85609   -0.04453
     0.83952   -0.06897
     0.82294   -0.09390
     0.80635   -0.11917
     0.78976   -0.14471
     0.77315   -0.17044
     0.75655   -0.19633
     0.73994   -0.22238
     0.72333   -0.24858
     0.70672   -0.27497
     0.69011   -0.30158
     0.67350   -0.32844
     0.65690   -0.35562
     0.64030   -0.38317
     0.62371   -0.41115
     0.60712   -0.43961
     0.59055   -0.46864
     0.57398   -0.49830
     0.55743   -0.52868
     0.54089   -0.55983
     0.52436   -0.59186
     0.50785   -0.62486
     0.49136   -0.65891
     0.47489   -0.69412
     0.45844   -0.73062
     0.44201   -0.76851
     0.42562   -0.80795
     0.40925   -0.84909
     0.39291   -0.89210
     0.37661   -0.93720
     0.36035   -0.98460
     0.34413   -1.03459
     0.32796   -1.08750
     0.31184   -1.14370
     0.29578   -1.20369
     0.27979   -1.26805
     0.26388   -1.33755
     0.24806   -1.41316
     0.23237   -1.49627
     0.21684   -1.58878
     0.20154   -1.69461
     0.18661   -1.81914
     0.17212   -1.95454
     0.15811   -2.09477
     0.14460   -2.23556
     0.13157   -2.37964
     0.11906   -2.56191
     0.10706   -2.88541
     0.09561   -3.09130
     0.08476   -3.16989
     0.07456   -3.25692
     0.06508   -3.35377
     0.05639   -3.45811
     0.04853   -3.56607
     0.04151   -3.67513
     0.03531   -3.78459
     0.02989   -3.89485
     0.02516   -4.00669
     0.02106   -4.12086
     0.01750   -4.23791
     0.01440   -4.35806
     0.01172   -4.48107
     0.00939   -4.60602
     0.00737   -4.73092
     0.00563   -4.85214
     0.00415   -4.96361
     0.00291   -5.05576
     0.00190   -5.11439
     0.00110   -5.11979
     0.00052   -5.04765
     0.00016   -4.87313
     0.00001   -4.58674
     0.00006   -4.18916
     0.00035   -3.63032
     0.00091   -2.90569
     0.00178   -2.08399
     0.00294   -1.27947
     0.00441   -0.58985
     0.00616   -0.05581
     0.00819    0.32924
     0.01049    0.59451
     0.01309    0.77000
     0.01602    0.88223
     0.01931    0.94932
     0.02305    0.98539
     0.02732    0.99915
     0.03226    0.99717
     0.03803    0.98355
     0.04485    0.96144
     0.05299    0.93246
     0.06274    0.89864
     0.07429    0.86085
     0.08760    0.82099
     0.10236    0.78002
     0.11804    0.73915
     0.13418    0.69877
     0.15044    0.65923
     0.16662    0.62072
     0.18263    0.58361
     0.19847    0.54856
     0.21419    0.51732
     0.22991    0.48970
     0.24569    0.46464
     0.26153    0.44168
     0.27745    0.42053
     0.29344    0.40100
     0.30949    0.38292
     0.32561    0.36616
     0.34179    0.35058
     0.35801    0.33607
     0.37429    0.32255
     0.39060    0.30992
     0.40696    0.29811
     0.42335    0.28703
     0.43977    0.27663
     0.45623    0.26685
     0.47271    0.25763
     0.48922    0.24892
     0.50575    0.24069
     0.52230    0.23289
     0.53887    0.22548
     0.55546    0.21843
     0.57206    0.21171
     0.58868    0.20530
     0.60531    0.19916
     0.62195    0.19329
     0.63861    0.18766
     0.65526    0.18225
     0.67193    0.17705
     0.68860    0.17206
     0.70528    0.16725
     0.72196    0.16262
     0.73864    0.15818
     0.75532    0.15391
     0.77200    0.14982
     0.78867    0.14591
     0.80535    0.14220
     0.82201    0.13868
     0.83867    0.13539
     0.85532    0.13234
     0.87194    0.12956
     0.88853    0.12709
     0.90505    0.12499
     0.92142    0.12331
     0.93750    0.12216
     0.95303    0.12162
     0.96757    0.12179
     0.98062    0.12238
     0.99182    0.12425
     1.00000    0.11867
