#      x          Cp  
     1.00000    0.08760
     0.99187    0.07856
     0.98074    0.06478
     0.96776    0.04975
     0.95330    0.03456
     0.93785    0.01932
     0.92186    0.00449
     0.90557   -0.00972
     0.88914   -0.02334
     0.87263   -0.03649
     0.85609   -0.04943
     0.83952   -0.06253
     0.82294   -0.07630
     0.80635   -0.09145
     0.78976   -0.10894
     0.77315   -0.13001
     0.75655   -0.15618
     0.73994   -0.18922
     0.72333   -0.23104
     0.70672   -0.28376
     0.69011   -0.34736
     0.67350   -0.41021
     0.65690   -0.44005
     0.64030   -0.44520
     0.62371   -0.45016
     0.60712   -0.45503
     0.59055   -0.45988
     0.57398   -0.46476
     0.55743   -0.46972
     0.54089   -0.47483
     0.52436   -0.48013
     0.50785   -0.48567
     0.49136   -0.49151
     0.47489   -0.49773
     0.45844   -0.50439
     0.44201   -0.51157
     0.42562   -0.51938
     0.40925   -0.52792
     0.39291   -0.53731
     0.37661   -0.54769
     0.36035   -0.55922
     0.34413   -0.57207
     0.32796   -0.58643
     0.31184   -0.60249
     0.29578   -0.62045
     0.27979   -0.64051
     0.26388   -0.66281
     0.24806   -0.68768
     0.23237   -0.71547
     0.21684   -0.74656
     0.20154   -0.78130
     0.18661   -0.81991
     0.17212   -0.86164
     0.15811   -0.90480
     0.14460   -0.94690
     0.13157   -0.98503
     0.11906   -1.01626
     0.10706   -1.03795
     0.09561   -1.04797
     0.08476   -1.04483
     0.07456   -1.02778
     0.06508   -0.99695
     0.05639   -0.95331
     0.04853   -0.89852
     0.04151   -0.83465
     0.03531   -0.76374
     0.02989   -0.68750
     0.02516   -0.60714
     0.02106   -0.52333
     0.01750   -0.43627
     0.01440   -0.34575
     0.01172   -0.25130
     0.00939   -0.15224
     0.00737   -0.04781
     0.00563    0.06274
     0.00415    0.17993
     0.00291    0.30373
     0.00190    0.43308
     0.00110    0.56530
     0.00052    0.69475
     0.00016    0.81394
     0.00001    0.91051
     0.00006    0.97629
     0.00035    0.99995
     0.00091    0.96872
     0.00178    0.88245
     0.00294    0.76014
     0.00441    0.62717
     0.00616    0.50461
     0.00819    0.40183
     0.01049    0.32070
     0.01309    0.25891
     0.01602    0.21301
     0.01931    0.17965
     0.02305    0.15597
     0.02732    0.13969
     0.03226    0.12902
     0.03803    0.12250
     0.04485    0.11883
     0.05299    0.11679
     0.06274    0.11499
     0.07429    0.11186
     0.08760    0.10577
     0.10236    0.09558
     0.11804    0.08092
     0.13418    0.06230
     0.15044    0.04075
     0.16662    0.01760
     0.18263   -0.00562
     0.19847   -0.02714
     0.21419   -0.04452
     0.22991   -0.05765
     0.24569   -0.06752
     0.26153   -0.07482
     0.27745   -0.08012
     0.29344   -0.08383
     0.30949   -0.08625
     0.32561   -0.08761
     0.34179   -0.08809
     0.35801   -0.08782
     0.37429   -0.08691
     0.39060   -0.08544
     0.40696   -0.08349
     0.42335   -0.08112
     0.43977   -0.07837
     0.45623   -0.07529
     0.47271   -0.07191
     0.48922   -0.06826
     0.50575   -0.06437
     0.52230   -0.06025
     0.53887   -0.05592
     0.55546   -0.05139
     0.57206   -0.04668
     0.58868   -0.04178
     0.60531   -0.03671
     0.62195   -0.03147
     0.63861   -0.02605
     0.65526   -0.02048
     0.67193   -0.01474
     0.68860   -0.00884
     0.70528   -0.00280
     0.72196    0.00337
     0.73864    0.00965
     0.75532    0.01601
     0.77200    0.02240
     0.78867    0.02879
     0.80535    0.03510
     0.82201    0.04126
     0.83867    0.04721
     0.85532    0.05287
     0.87194    0.05819
     0.88853    0.06312
     0.90505    0.06768
     0.92142    0.07187
     0.93750    0.07573
     0.95303    0.07914
     0.96757    0.08204
     0.98062    0.08442
     0.99182    0.08629
     1.00000    0.08760
